Date/Time,Building_type,Construction_period,retrofit_scenario,Hot water + Space Heating demand [J](Hourly),Space Heating demand [J](Hourly),Hot water demand [J](Hourly),,Electricity demand [J](Hourly) ,G [W](msquared)
 07/17  17:00:00,SFH,2011-2015,No retrofit,0,0,0,293495.9888,969985.0368,98.09
 07/17  18:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,19911321.43,4211252.116,27.62
 07/17  19:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,17469431.32,8867180.293,0
 07/17  20:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,15808974.01,10419156.35,0
 07/17  21:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,11632723.18,4211252.116,0
 07/17  22:00:00,SFH,2011-2015,No retrofit,2386163.191,0,2386163.191,9853638.87,4211252.116,0
 07/17  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 07/17  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/18  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/18  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/18  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/18  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,48.09
 07/18  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,177.45
 07/18  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,350.63
 07/18  07:00:00,SFH,2011-2015,No retrofit,1431697.914,0,1431697.914,8953408.176,8867180.293,518.43
 07/18  08:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,11429961.19,4211252.116,661.23
 07/18  09:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,759.56
 07/18  10:00:00,SFH,2011-2015,No retrofit,0,0,0,717736.776,969985.0368,722.82
 07/18  11:00:00,SFH,2011-2015,No retrofit,0,0,0,803397.7922,969985.0368,865.38
 07/18  12:00:00,SFH,2011-2015,No retrofit,0,0,0,1898483.107,969985.0368,763.48
